Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,947.0,Low
jalan klang lama (old klang road),3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1250.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,947.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,908.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1333.0,Low
ampang,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,749.0,Low
dutamas,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1432.0,Low
dutamas,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1100.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,908.0,Low
bukit jalil,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1242.0,Low
jalan klang lama (old klang road),2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,730.0,Low
bukit jalil,4,2.0,2.0,Condominium,Partly Furnished,Corner,Land area,1231.0,Low
taman desa,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1330.0,Low
bukit jalil,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1000.0,Low
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
dutamas,4,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1430.0,Low
kepong,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1109.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1333.0,Low
jalan ipoh,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1037.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1050.0,Low
sri petaling,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1065.0,Low
kepong,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1030.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
jalan klang lama (old klang road),3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Low
taman desa,2,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,950.0,Low
dutamas,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1100.0,Low
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1250.0,Low
jalan kuching,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,890.0,Low
sentul,4,3.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1412.0,Low
jalan kuching,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1097.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
kepong,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1109.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
jalan klang lama (old klang road),4,4.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,1362.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1044.0,Low
dutamas,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
bukit jalil,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
sungai besi,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1153.0,Low
kl city,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1028.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Low
ampang hilir,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,908.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1190.0,Low
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1003.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
kuchai lama,2,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,936.0,Low
dutamas,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1400.0,Low
dutamas,4,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1567.0,Low
cheras,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1000.0,Low
cheras,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,962.0,Low
taman desa,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1044.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,950.0,Low
kl city,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1105.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1050.0,Low
kepong,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1074.0,Low
kepong,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,980.0,Low
cheras,3,3.0,1.0,Condominium,Unfurnished,Corner,Built-up,1625.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1450.0,Low
jalan ipoh,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,840.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
titiwangsa,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1066.0,Low
sri hartamas,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,947.0,Low
setapak,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1442.0,Low
kepong,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1030.0,Low
dutamas,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
bangsar,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,700.0,Low
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1350.0,Low
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,962.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1341.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1108.0,Low
cheras,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1116.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
jalan kuching,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,865.0,Low
segambut,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1205.0,Low
sungai besi,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1044.0,Low
kuchai lama,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1120.0,Low
keramat,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1003.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
city centre,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
kl city,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1050.0,Low
wangsa maju,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1267.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1127.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1188.0,Low
cheras,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1050.0,Low
jalan ipoh,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1272.0,Low
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
jalan kuching,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,870.0,Low
setiawangsa,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1300.0,Low
jalan klang lama (old klang road),5,3.0,1.0,Condominium,Partly Furnished,Penthouse,Built-up,1464.0,Low
ampang,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1166.0,Low
jalan klang lama (old klang road),3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1407.0,Low
jalan ipoh,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,840.0,Low
sentul,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,948.0,Low
cheras,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1100.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1200.0,Low
sungai besi,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1180.0,Low
segambut,4,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1380.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1044.0,Low
jalan klang lama (old klang road),2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,730.0,Low
cheras,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1050.0,Low
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1341.0,Low
cheras,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1050.0,Low
dutamas,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1341.0,Low
sentul,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Land area,1081.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1074.0,Low
kuchai lama,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1120.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1378.0,Low
setapak,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1450.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1442.0,Low
cheras,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1450.0,Low
sungai besi,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1044.0,Low
setapak,5,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
sentul,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1081.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1098.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1450.0,Low
jalan klang lama (old klang road),2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,730.0,Low
dutamas,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Land area,1100.0,Low
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1230.0,Low
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1379.0,Low
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1003.0,Low
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
kuchai lama,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
jalan ipoh,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1215.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
sungai besi,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1044.0,Low
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
setapak,4,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
setapak,3,2.0,2.0,Condominium,Unknown,Intermediate,Built-up,1313.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
ampang,2,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1258.0,Low
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
sungai besi,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1074.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1044.0,Low
wangsa maju,4,3.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1267.0,Low
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1488.0,Low
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1003.0,Low
keramat,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1400.0,Low
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
setiawangsa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Low
bukit jalil,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1231.0,Low
cheras,4,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1307.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1074.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1180.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1210.0,Low
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1003.0,Low
bukit jalil,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1242.0,Low
wangsa maju,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1267.0,Low
sentul,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1081.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1250.0,Low
ampang,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,1258.0,Low
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Corner,Built-up,1009.0,Low
setapak,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1378.0,Low
kepong,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1030.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Low
sri petaling,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1417.0,Low
sri petaling,4,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1400.0,Low
setapak,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1442.0,Low
jalan klang lama (old klang road),3,3.0,3.0,Condominium,Unfurnished,Corner,Built-up,1250.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
setapak,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1410.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,962.0,Low
jalan ipoh,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1215.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,1100.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1102.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1130.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1018.0,Low
dutamas,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
sentul,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1243.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1378.0,Low
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1060.0,Low
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1003.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
sungai besi,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1044.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,980.0,Low
cheras,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Land area,1004.0,Low
bukit jalil,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1260.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1235.0,Low
cheras,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,915.0,Low
ampang,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1166.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,920.0,Low
jalan klang lama (old klang road),3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1407.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1302.0,Low
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1272.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1350.0,Low
sentul,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1323.0,Low
bukit jalil,3,2.0,2.0,Condominium,Fully Furnished,Corner,Built-up,1050.0,Low
kepong,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,930.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1207.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1152.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,962.0,Low
wangsa maju,4,3.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1267.0,Low
bukit jalil,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1224.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
sungai besi,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1044.0,Low
kepong,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1074.0,Low
batu caves,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1130.0,Low
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,986.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
kuchai lama,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,936.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1074.0,Low
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
dutamas,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,1100.0,Low
jalan kuching,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1100.0,Low
bukit jalil,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1525.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1003.0,Low
sungai besi,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1333.0,Low
jalan klang lama (old klang road),4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1341.0,Low
dutamas,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1100.0,Low
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,667.0,Low
setapak,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1378.0,Low
ampang,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1166.0,Low
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1050.0,Low
sentul,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1011.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,935.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1074.0,Low
jalan ipoh,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,966.0,Low
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1182.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1450.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1200.0,Low
setapak,4,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1328.0,Low
setapak,2,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Low
setapak,4,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1313.0,Low
setapak,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Low
kepong,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1074.0,Low
setapak,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
kepong,3,2.0,2.0,Condominium,Partly Furnished,EndLot,Built-up,1030.0,Low
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Low
taman desa,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1210.0,Low
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1003.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Low
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1130.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1050.0,Low
sentul,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,1081.0,Low
sentul,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1363.0,Low
taman desa,4,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1210.0,Low
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1450.0,Low
taman desa,2,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,997.0,Low
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1244.0,Low
keramat,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1180.0,Low
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Medium
jalan klang lama (old klang road),3,3.0,3.0,Condominium,Unfurnished,Intermediate,Built-up,1250.0,Medium
jalan klang lama (old klang road),3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1250.0,Medium
kepong,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,960.0,Medium
kepong,4,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1027.0,Medium
sungai besi,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,935.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1100.0,Medium
sungai besi,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,935.0,Medium
ampang hilir,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,785.0,Medium
bukit jalil,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1023.0,Medium
setapak,4,2.0,2.0,Condominium,Unfurnished,Corner,Built-up,1438.0,Medium
kuchai lama,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Medium
bukit jalil,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1009.0,Medium
cheras,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1082.0,Medium
setapak,4,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1313.0,Medium
sentul,3,2.0,2.0,Condominium,Unfurnished,Corner,Land area,1081.0,Medium
cheras,3,2.0,1.0,Condominium,Fully Furnished,Corner,Built-up,1003.0,Medium
taman desa,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1000.0,Medium
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1023.0,Medium
setapak,4,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1313.0,Medium
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1057.0,Medium
kuchai lama,3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1328.0,Medium
cheras,3,3.0,2.0,Condominium,Partly Furnished,Corner,Built-up,1376.0,Medium
sri petaling,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Land area,1200.0,Medium
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1023.0,Medium
bukit jalil,3,3.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,1003.0,Medium
batu caves,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1130.0,Medium
jalan klang lama (old klang road),3,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,1130.0,Medium
sentul,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,1323.0,Medium
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1337.0,Medium
jalan klang lama (old klang road),2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,730.0,Medium
