Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
jalan klang lama (old klang road),2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,739.0,Low
desa petaling,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,940.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,755.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Land area,850.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,715.0,Low
setapak,2,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,650.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,845.0,Low
bukit jalil,2,1.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,845.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,755.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,800.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
sentul,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,973.0,Low
bukit jalil,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
bukit jalil,2,1.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,775.0,Low
setapak,3,2.0,1.0,Condominium,Fully Furnished,Intermediate,Built-up,850.0,Low
desa petaling,3,3.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,800.0,Low
desa petaling,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Land area,800.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,910.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,900.0,Low
sri petaling,2,2.0,2.0,Condominium,Partly Furnished,Intermediate,Built-up,850.0,Low
sentul,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,973.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,861.0,Low
bukit jalil,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
